"geneID","1","1M","2","2M","3","3M","4","4M","5","5M","6","6M","7","7M","8","8M","9","9M","10","10M"
"16","EBG00000011083",417.792,422.545,403.913,412.677,411.105,399.297,402.004,390.502,410.303,407.67,394.754,423.768,403.214,422.922,403.689,449.152,397.829,442.374,410.839,437.382
"17","EBG00000011085",417.792,422.545,403.913,412.677,411.105,399.297,402.004,390.502,410.303,407.67,394.754,423.768,403.214,422.922,403.689,449.152,397.829,442.374,410.839,437.382
"18","EBG00000011087",384.74,376.565,426.012,480.6,398.749,446.502,396.644,378.536,384.247,368.146,409.99,365.853,411.556,403.822,412.041,402.876,399.411,402.901,398.491,411.001
"19","EBG00000011089",536.435,480.475,441.608,488.407,508.738,510.465,433.657,498.284,515.924,422.538,464.973,418.797,428.86,579.281,443.369,419.281,527.113,428.692,474.01,614.245
"20","EBG00000011092",398.48,390.013,405.399,393.825,405.624,387.407,396.644,378.536,397.97,395.417,396.324,372.386,411.556,390.362,412.041,389.447,399.411,389.471,384.75,404.151
"21","EBG00000011094",13343.9,433.573,13342.9,455.266,13350.3,1324.72,12753.5,352.391,13321.6,337.428,13261.5,349.782,12817.7,14553.4,14827.5,12560.3,14366.2,13067.1,13308.3,387.504
"22","EBG00000011095",459.844,482.09,444.136,480.177,456.76,439.695,425.033,455.259,431.768,460.943,447.476,437.868,411.841,488.191,450.021,513.616,427.63,505.607,451.642,493.972
"23","EBG00000011096",403.865,395.284,417.841,392.382,390.202,372.677,415.867,411.055,417.257,400.76,401.68,397.282,417.118,409.279,389.768,394.71,404.808,408.345,403.876,416.555
"24","EBG00001172639",384.74,376.565,426.012,480.6,398.749,446.502,396.644,378.536,384.247,368.146,409.99,365.853,411.556,403.822,412.041,402.876,399.411,402.901,398.491,411.001
"25","EBG00001172641",391.61,403.462,398.527,407.175,398.749,400.539,396.644,365.017,391.109,395.417,403.157,398.518,397.838,444.204,398.306,443.164,392.524,449.906,405.362,438.401
"26","EBG00001172643",398.48,390.013,405.399,393.825,405.624,387.407,396.644,378.536,397.97,395.417,396.324,372.386,411.556,390.362,412.041,389.447,399.411,389.471,384.75,404.151
"27","EBG00001172647",403.865,395.284,389.985,392.382,404.138,385.987,388.142,383.651,403.348,400.76,401.68,397.282,431.022,381.994,403.689,394.71,404.808,394.734,417.803,402.67
"28","EBG00001172649",376.012,395.284,389.985,378.851,404.138,412.607,402.004,397.353,403.348,414.579,401.68,384.039,417.118,409.279,403.689,381.099,404.808,408.345,403.876,416.555
"29","EBG00001172650",398.48,390.013,405.399,393.825,405.624,387.407,396.644,378.536,397.97,395.417,396.324,372.386,411.556,390.362,412.041,389.447,399.411,389.471,384.75,404.151
"30","EBG00001172653",412.221,403.462,406.207,400.5,406.433,393.973,398.253,417.503,405.639,409.052,403.961,432.337,405.504,421.638,399.922,420.65,413.184,438.451,406.17,447.265
"31","EBG00001172654",412.221,403.462,406.207,400.5,406.433,393.973,398.253,417.503,405.639,409.052,403.961,432.337,405.504,421.638,399.922,420.65,413.184,438.451,406.17,447.265
"32","EBG00001172655",440.286,490.114,442.97,407.56,457.975,462.522,487.38,457.643,495.394,442.409,447.434,526.093,494.811,497.317,471.944,485.884,490.335,497.112,473.852,524.72
"33","EBG00001172668",412.221,390.013,398.527,387.15,398.749,393.973,382.967,392.055,397.97,381.781,409.99,378.919,411.556,390.362,384.572,389.447,385.638,362.61,412.232,397.301
"34","EBG00001172670",391.61,403.462,398.527,407.175,398.749,400.539,396.644,365.017,391.109,395.417,403.157,398.518,397.838,444.204,398.306,443.164,392.524,449.906,405.362,438.401
"35","EBG00001172671",2808.58,2722.82,2700.14,2649.48,2797.9,2596.3,2828.84,2760.42,2995.07,2859.7,2913.21,3309.74,3047.15,2818.15,2886.62,3198.67,2660.19,2881.63,3003.4,3018.34
"36","EBG00001172672",417.792,422.545,403.913,412.677,411.105,399.297,402.004,390.502,410.303,407.67,394.754,423.768,403.214,422.922,403.689,449.152,397.829,442.374,410.839,437.382
"37","EBG00001172683",393.694,407.995,416.902,405,393.96,14958.7,414.932,432.916,416.319,390.667,391.564,396.389,393.059,408.36,393.522,339.502,417.826,339.523,393.705,415.619
"38","EBG00001172694",458.169,558.072,558.699,529.042,469.688,477.834,537.025,411.766,476.053,532.606,497.496,578.332,576.916,478.947,508.745,620.975,448.901,625.108,505.669,484.531
"39","EBG00001172710",403.865,408.914,403.913,405.912,404.138,412.607,388.142,438.459,389.44,442.218,401.68,463.496,403.214,272.853,403.689,394.71,404.808,367.511,417.803,416.555
"40","EBG00001172713",336.839,395.339,337.988,403.394,346.157,1587.97,318.356,404.17,363.535,386.479,318.245,377.039,345.105,415.164,379.85,364.77,355.01,380.304,336.809,448.231
"41","EBG00001172721",409.398,386.882,395.327,356.609,381.42,364.29,365.355,361.128,366.576,378.233,379.101,349.028,366.454,373.397,380.997,386.32,382.053,358.747,381.173,394.11
"42","EBG00001172725",417.792,422.545,403.913,412.677,411.105,399.297,402.004,390.502,410.303,407.67,394.754,423.768,403.214,422.922,403.689,449.152,397.829,442.374,410.839,437.382
"43","EBG00001172729",403.865,395.284,417.841,392.382,390.202,372.677,415.867,411.055,417.257,400.76,401.68,397.282,417.118,409.279,389.768,394.71,404.808,408.345,403.876,416.555
"44","EBG00001172734",383.461,398.771,407.476,395.843,383.72,37427.4,381.695,448.018,382.971,451.859,405.223,455.797,406.771,446.083,407.25,398.192,408.379,398.216,407.439,406.222
"45","EBG00001172740",336.839,395.339,337.988,403.394,346.157,1587.97,318.356,404.17,363.535,386.479,318.245,377.039,345.105,415.164,379.85,364.77,355.01,380.304,336.809,448.231
"46","EBG00001172751",440.286,490.114,442.97,407.56,457.975,462.522,487.38,457.643,495.394,442.409,447.434,526.093,494.811,497.317,471.944,485.884,490.335,497.112,473.852,524.72
"47","EBG00001172753",1241.44,1472.13,1261.08,1342.06,1257.79,1319.03,1322.2,1291.27,1258.8,1337.8,1252.02,1381.86,1274.74,1249.08,1274.88,1246.4,1226.75,1248.75,1257.85,1274.3
"48","EBG00001172755",354.147,430.944,371.897,453.399,372.103,1808.74,353.064,346.182,389.059,350.27,335.057,308.32,370.829,313.544,320.682,379.783,338.745,362.507,337.771,424.762
"49","EBG00001172756",417.792,408.914,403.913,405.912,390.202,452.536,402.004,465.862,417.257,456.037,401.68,423.768,403.214,368.351,403.689,313.046,390.849,367.511,403.876,416.555
"50","EBG00001172759",374.746,389.708,374.791,386.846,398.437,16291.3,373.02,391.748,397.659,418.348,372.718,445.438,374.142,435.944,374.583,503.595,399.098,457.842,398.179,443.694
"51","EBG00001172762",458.169,558.072,558.699,529.042,469.688,477.834,537.025,411.766,476.053,532.606,497.496,578.332,576.916,478.947,508.745,620.975,448.901,625.108,505.669,484.531
"52","EBG00001172764",1386.59,1342.07,1369.96,1349.33,1346.27,1307.35,1419.86,1347.32,1386.97,1379.73,1398.64,1379.46,1346.37,1338.15,1443.93,1316.26,1409.01,1338.18,1385.55,1385.13
"53","PFLU_0101",485.125,497.812,472.101,511.144,478.085,469.257,475.637,441.419,509.372,458.29,469.424,425.304,501.878,475.213,454.226,474.108,495.035,474.21,477.803,483.758
"54","PFLU_0102",603.012,660.497,615.239,674.74,607.195,659.815,631.898,546.645,626.211,716.88,611.603,528.548,570.446,598.405,634.417,597.03,596.434,597.317,614.833,609.375
"55","PFLU_0103",533.008,561.835,533.179,551.962,506.036,474.118,511.218,447.935,509.091,523.264,487.566,401.556,506.941,499.243,519.142,498.084,506.941,498.217,536.872,508.253
"56","PFLU_0104",465.497,555.779,483.657,514.251,479.005,495.491,498.092,415.432,475.759,422.602,470.16,430.165,463.568,461.883,464.08,460.807,476.221,460.894,488.341,470.171
"57","PFLU_0105",1757.45,1895.19,1875.98,1904.71,1811.39,2034.05,1779.46,1426.43,1901.75,1497.68,1861.3,1734.38,1756.76,1775.8,1756.58,1771.99,1817.76,1777.37,1784.26,1814.27
"58","PFLU_0106",2123.9,2290.38,1994.76,2365.66,2019.84,2291.11,2051.38,1898.2,2127.2,1883.73,2011.86,1678.82,1988.82,2046.37,2192.24,2041.43,1993.24,2047.8,2020.57,2092.05
"59","PFLU_0107",1672.42,1978.8,1790.71,1766.69,1783.09,1898.44,1751.21,1510.34,1788.21,1525.94,1776.7,1490.48,1870.1,1775.8,1756.58,1771.99,1732.55,1777.37,1812.58,1814.27
"60","PFLU_0108",6175.26,11936.6,6107.12,10025.1,5996.26,4172.19,6617.01,8138.73,5723.6,10640.7,6105.17,8540.38,5522.19,5914.09,6011.3,5786.61,5981.14,5689.82,5640.06,10481.7
"61","PFLU_0109",6718.47,6656.47,6581.22,7064.59,6603.63,6329.12,6901.12,6111.63,7034.97,6416.89,6656.7,6071.42,6856.83,6645.49,6759.13,6532.37,6324.96,6493.31,6620.58,7141.17
"62","PFLU_0110",484.854,529.755,496.581,527.411,471.871,572.546,512.293,537.355,482.644,397.474,495.402,407.682,508.888,484.67,476.354,483.544,499.243,483.657,522.893,493.398
"63","PFLU_0111",513.309,573.843,513.462,551.023,484.087,573.486,490.255,515.349,471.15,371.788,489.84,432.189,470.962,487.528,500.932,486.395,511.018,486.514,490.744,496.312
"64","PFLU_0112",1785.8,1867.32,1904.41,1904.71,1726.48,2006.93,1751.21,1482.37,1759.82,1610.71,1776.7,1354.98,1841.76,1775.8,1898.24,1771.99,1846.16,1777.37,1812.58,1814.27
"65","PFLU_0113",530.885,554.448,528.717,564.041,557.11,507.422,544.917,457.421,560.945,536.349,523.328,444.448,511.233,517.709,540.059,516.51,529.742,516.67,530.849,527.083
"66","PFLU_0114",572.583,563.789,588.663,614.861,547.506,638.002,582.594,628.89,575.155,505.626,547.473,529.759,555.94,557.749,562.808,556.462,554.87,556.682,566.2,567.91
"67","PFLU_0115",521.051,529.609,516.814,532.074,514.683,548.665,520.881,434.534,522.681,464.609,527.023,451.577,520.257,510.39,531.832,509.207,517.825,509.357,498.942,519.62
"68","PFLU_0116",519.23,551.938,530.005,564.278,477.084,482.098,516.869,533.895,531.354,506.978,514.32,441.525,562.875,506.532,512.624,505.358,526.799,505.502,517.08,515.686
"69","PFLU_0117",481.018,530.214,486.189,531.181,507.822,494.737,475.05,378.901,479.19,493.695,440.749,425.095,494.133,465.011,504.772,463.928,477.071,464.018,487.32,473.359
"70","PFLU_0118",871.283,1026.8,862.468,942.391,929.916,1001.44,906.505,655.539,919.769,690.685,886.102,727.491,870.226,881.961,880.498,879.993,892.818,880.958,890.538,898.846
"71","PFLU_0119",424.291,523.185,458.69,441.101,439.741,456.601,435.481,426.564,443.542,377.194,425.279,421.086,441.407,435.674,435.972,434.657,426.601,434.714,453.326,443.459
"72","PFLU_0120",545.08,551.052,565.944,621.337,560.057,566.058,560.214,504.537,579.83,584.99,571.447,468.158,544.267,548.343,559.531,547.076,572.908,547.28,559.761,558.316
"73","PFLU_0121",583.176,629.415,639.055,697.874,579.415,659.815,580.557,570.072,594.504,515.996,615.549,566.301,610.06,598.405,614.592,597.03,600.41,597.317,602.933,609.375
"74","PFLU_0122",649.616,672.109,627.113,675.849,658.967,638.44,637.601,616.889,653.591,590.53,618.82,579.088,639.553,627.304,612.689,625.867,632.75,626.208,617.496,638.856
"75","PFLU_0123",571.52,612.804,568.582,561.623,565.37,637.829,575.296,487.051,561.364,377.199,568.44,534.686,586.613,559.805,571.23,558.514,572.828,558.736,577.847,570.006
"76","PFLU_0124",531.363,561.495,549.991,595.612,523.714,545.597,521.099,440.08,533.422,517.03,533.73,475.504,548.949,530.789,528.471,529.562,561.586,529.741,536.582,540.42
"77","PFLU_0125",597.631,648.783,597.913,590.76,611.536,600.615,581.338,430.208,549.266,528.906,567.238,471.184,589.931,568.651,559.779,567.341,575.038,567.58,577.078,579.031
"78","PFLU_0126",552.567,604.972,590.6,580.37,576.822,554.408,597.909,513.425,596.583,504.291,546.177,434.35,596.305,571.491,603.74,570.175,584.79,570.416,569.665,581.924
"79","PFLU_0127",691.503,720.05,675.629,693.316,664.436,775.51,661.323,578.85,663.716,600.202,698.618,596.055,690.541,666.603,723.769,665.083,682.149,665.506,685.927,678.96
"80","PFLU_0128",566.963,645.209,545.748,580.766,570.272,638.583,549.147,422.251,566.376,486.788,573.052,492.796,547.759,552.343,560.551,551.068,552.904,551.28,551.587,562.398
"81","PFLU_0129",481.844,520.305,489.987,479.094,493.319,509.498,497.175,459.965,498.877,430.582,476.058,385.243,493.885,481.406,484.817,480.286,510.235,480.397,491.431,490.071
"82","PFLU_0130",564.52,550.253,531.665,573.296,534.257,566.309,531.585,480.471,515.649,532.616,521.009,469.334,563.668,528.055,533.743,526.833,568.367,527.007,549.222,537.629
"83","PFLU_0131",492.24,584.694,476.891,553.571,523.5,519.825,488.283,445.424,498.554,471.492,489.582,407.657,484.607,487.236,497.167,486.104,512.353,486.222,447.472,496.014
"84","PFLU_0132",636.564,654.426,614.35,675.74,596.118,681.833,615.737,630.996,631.467,564.833,642.12,494.129,635.655,623.483,649.759,622.055,606.335,622.389,640.98,634.96
"85","PFLU_0133",474.351,478.006,466.945,443.177,447.784,444.136,473.248,439.291,481.287,438.822,457.911,386.853,475.749,456.256,463.405,455.193,480.829,455.272,463.611,464.435
"86","PFLU_0134",474.048,547.382,465.06,549.21,495.593,508.268,470.373,454.507,478.052,458.441,489.622,391.656,491.518,477.757,476.863,476.646,478.191,476.752,474.032,486.351
"87","PFLU_0135",4556,4545.23,4644.88,4897.95,4523.73,4164.58,4544.96,4527.48,4474.71,3484.39,4509.79,4034.63,4372.92,4445.87,4731.54,4442.7,4276.68,4429.23,4444.75,4577.41
"88","PFLU_0136",967.817,991.494,990.797,962.3,945.879,977.273,963.663,760.369,891.326,788.943,951.836,932.612,999.271,937.044,945.429,934.964,969.927,936.097,923.943,955.126
"89","PFLU_0137",444.752,523.556,471.886,472.626,455.152,528.39,487.55,406.604,434.102,446.991,444.589,384.459,473.285,458.834,473.809,457.765,475.127,457.847,474.019,467.062
"90","PFLU_0138",6495.23,7751.04,6446.2,7559.67,6830.3,6299.16,6626.43,6481.05,7170.09,6685.85,6943.85,7025.64,7099.63,6801.71,6692.64,6721,6931.76,6690.85,6649.33,7628.07
"91","PFLU_0139",551.734,637.655,574.446,595.419,539.127,604.014,552.436,501.953,573.6,544.557,561.522,439.514,557.322,559.276,567.485,557.986,559.427,558.209,567.715,569.469
"92","PFLU_0140",479.673,555.757,505.704,546.578,488.561,514.534,487.792,368.44,511.87,493.227,466.786,370.931,484.101,488.459,482.894,487.325,484.24,487.443,477.927,497.26
"93","PFLU_0141",620.052,731.813,696.736,706.416,660.887,646.138,688.123,645.351,675.366,590.494,636.939,566.007,649.632,652.098,650.19,650.608,672.394,650.997,680.921,664.153
"94","PFLU_0142",500.197,541.411,513.552,534.164,483.951,526.991,509.419,532.815,469.942,447.312,467.941,461.662,489.534,483.505,488.41,482.382,473.224,482.495,477.067,492.212
"95","PFLU_0143",457.913,419.328,456.164,514.895,460.035,431.478,458.572,462.376,468.426,455.368,460.029,374.927,480.235,448.567,455.858,447.521,448.797,447.591,455.139,456.599
"96","PFLU_0144",462.987,506.283,496.093,485.353,472.686,449.264,481.979,477.595,487.149,473.535,459.314,439.239,496.374,461.612,449.82,460.536,475.869,460.621,468.868,469.893
"97","PFLU_0145",515.022,598.423,515.184,566.451,485.091,486.843,482.631,460.393,521.978,464.386,508.489,497.097,493.511,495.252,533.632,494.102,518.102,494.231,498.019,504.186
"98","PFLU_0146",856.872,864.972,849.156,966.399,796.879,909.269,853.137,734.021,813.541,868.346,852.286,636.607,830.116,822.348,804.956,820.501,824.417,821.295,796.64,837.951
"99","PFLU_0147",445.293,481.022,488.695,511.351,497.221,541.672,466.882,418.938,489.389,400.394,467.878,420.893,454.356,471.749,474.385,470.651,468.71,470.749,498.323,480.227
"100","PFLU_0148",427.586,503.236,406.914,461.765,425.532,470.579,402.404,425.036,433.259,402.97,433.005,381.727,409.566,416.332,438.276,415.357,450.662,415.394,420.596,423.747
"101","PFLU_0148A",634.849,681.247,630.56,748.612,635.039,642.531,659.893,510.007,662.255,611.845,617.506,502.045,633.946,630.944,620.51,629.5,640.968,629.849,648.75,642.572
"102","PFLU_0149",588.848,633.263,614.438,558.233,585.46,638.811,579.004,426.655,613.526,512.888,600.048,450.329,548.305,580.307,570.49,578.971,575.709,579.227,596.003,590.915
"103","PFLU_0150",1095.33,1114.62,1028.45,1171.94,1081.17,1034.2,1090.71,984.574,1095.12,1020.96,1089.5,1044.33,1039.46,1072.43,1121.88,1070.08,1070.23,1071.7,1108.44,1093.55
"104","PFLU_0151",2820.46,444.995,2929.28,412.279,2822.36,1157.09,2807.46,357.86,2816.85,375.967,2805.2,389.103,2815.91,2869.26,2927.66,2862.54,2935.78,2862.71,2929.02,407.979
"105","PFLU_0152",930.645,982.492,911.263,1054.12,920.282,938.62,896.085,896.335,889.322,813.04,915.502,691.834,898.889,901.302,919.809,899.295,942.931,900.323,940.513,918.612
"106","PFLU_0153",838.837,988.028,807.343,831.217,798.529,825.039,851.229,849.731,830.24,689.11,778.187,645.271,829.705,797.788,862.504,795.992,832.615,796.72,806.336,812.869
"107","PFLU_0154",774.191,823.63,752.734,802.816,796.376,796.479,792.812,725.915,773.654,710.45,755.374,652.983,795.266,765.418,758.99,763.689,805.476,764.331,803.469,779.813
"108","PFLU_0155",1015.03,1151.25,1016.44,1082.33,1014.72,1075.7,974.184,1047.94,1039.17,875.26,1033.95,1025.78,1026.12,993.872,1002.09,991.682,1004.97,993.026,1026.79,1013.24
"109","PFLU_0156",859.029,797.181,869.091,826.354,822.425,917.34,846.2,674.896,840.286,835.372,872.614,800.897,848.837,850.173,876.747,848.269,833.446,849.141,886.145,866.372
"110","PFLU_0157",2510.42,2741.92,2610.61,2892.32,2553.43,2751.46,2732.81,2346.32,2515.78,2597.53,2769.63,2186.37,2649.43,2588.8,2465.24,2583.56,2743.2,2593.41,2599.77,2648.93
"111","PFLU_0158",394.298,421.004,412.27,417.913,394.564,1735.85,410.322,335.04,429.593,355.697,409.99,340.857,411.556,403.822,412.041,402.876,413.184,402.901,394.309,411.001
"112","PFLU_0159",710.227,802.834,716.832,731.687,740.717,806.576,713.123,507.933,721.792,560.682,700.376,606.808,721.382,701.535,715.889,699.94,687.488,700.432,758.626,714.601
"113","PFLU_0160",708.696,749.786,714.869,743.98,669.155,720.801,671.681,636.232,691.114,670.031,716.167,663.853,707.717,677.443,696.965,675.9,704.611,676.346,691.549,690.022
"114","PFLU_0161",735.362,853.614,723.551,726.835,698.409,826.995,719.802,626.574,703.909,644.426,719.122,617.737,728.191,702.048,728.765,700.453,730.821,700.953,729.022,715.134
"115","PFLU_0162",648.059,760.775,667.527,703.986,638.715,742.445,640.419,651.952,656.997,610.39,649.313,539.713,637.623,634.736,609.608,633.283,639.976,633.641,667.01,646.442
"116","PFLU_0163",1313.63,1448.26,1352.27,1365.71,1240.69,1238.98,1236.58,1117.2,1223.84,948.802,1288.76,1030.28,1258.49,1285.95,1330.51,1283.2,1298.33,1285.72,1240.79,1312.05
"117","PFLU_0164",655.395,662.039,660.943,761.451,665.81,636.271,693.252,554.402,680.401,615.237,712.984,560.482,664.701,651.942,655.035,650.452,677.405,650.844,650.159,663.997
"118","PFLU_0165",483.23,526.111,487.754,506.542,501.081,508.046,479.566,476.941,492.906,441.827,496.641,376.068,492.714,474.792,477.149,473.687,481.413,473.789,480.286,483.329
"119","PFLU_0166",724.001,783.979,756.341,771.696,730.471,686.018,758.735,756.496,717.094,592.928,732.748,665.122,723.021,715.292,748.972,713.668,719.261,714.191,723.837,728.642
"120","PFLU_0167",715.789,712.915,728.254,869.728,692.064,746.952,694.8,622.418,697.332,592.407,723.811,653.046,738.636,695.199,727.306,693.617,687.508,694.097,709.674,708.136
"121","PFLU_0170",539.215,624.855,503.577,573.098,533.166,531.485,488.539,445.639,521.784,426.511,523.736,442.824,529.98,505.49,509.481,504.318,515.124,504.461,499.167,514.624
"122","PFLU_0171",491.688,533.546,480.102,533.371,472.445,489.832,466.134,422.379,458.628,423.447,473.506,393.435,463.647,467.629,487.558,466.54,477.181,466.633,477.367,476.027
"123","PFLU_0172",451.476,521.551,474.052,505.207,467.799,490.811,444.085,394.762,453.074,468.247,468.19,401.929,463.586,455.883,468.378,454.821,493.272,454.9,476.075,464.055
"124","PFLU_0173",596.278,570.342,572.284,606.444,572.237,652.785,555.628,597.081,609.532,536.917,589.617,547.595,571.169,573.862,550.928,572.541,583.742,572.785,589.279,584.342
"125","PFLU_0174",437.115,485.948,448.913,428.506,452.222,503.568,434.334,370.959,449.836,457.042,450.279,397.161,450.452,441.959,442.378,440.928,456.908,440.991,459.749,449.864
"126","PFLU_0175",3644.85,3708.85,3472.15,3862.88,3311.33,3484.03,3509.04,3166.02,3465.56,2685.93,3444.29,2704.86,3646.69,3432.98,3580.14,3431.53,3525.22,3437.66,3566.42,3523.19
"127","PFLU_0176",2906.62,3358.47,2917.04,3132.28,2902,2924.24,2747.37,2416.76,2809.11,2289.53,2687.76,2246.19,2804.81,2839.57,2852.3,2835.21,2858.92,2842.96,2901.48,2909.38
"128","PFLU_0177",1075.94,1301.11,1111.78,1088.29,1145.33,877.888,1166.28,1170.48,1092.65,948.294,1130.6,1041.38,1161.25,1113.14,1109.95,1110.64,1139.19,1111.73,1101.62,1134.28
"129","PFLU_0178",1428.67,1504.49,1369.65,1470.99,1406.6,1643.58,1464.19,1244.94,1491.33,1380.68,1359.32,1304.76,1406.91,1418.72,1468.8,1415.7,1390.15,1418.98,1406.93,1448.02
"130","PFLU_0179",500.907,592.594,511.514,608.436,538.748,620.399,500.707,466.223,508.689,368.759,512.735,387.165,527.233,504.972,515.268,503.801,537.625,503.943,500.879,514.096
"131","PFLU_0180",526.259,557.446,483.267,529.812,504.099,517.833,498.097,456.73,494.636,434.999,485.663,326.616,492.715,488.459,501.865,487.325,520.558,487.443,484.828,497.26
"132","PFLU_0181",510.502,576.252,510.668,542.758,474.711,541.511,494.23,425.529,523.928,387.493,495.8,487.535,495.728,502.023,502.253,500.858,519.706,500.994,530.494,511.087
"133","PFLU_0182",517.133,525.221,508.723,606.776,502.365,549.649,527.599,466.661,529.42,449.416,535.685,445.002,550.625,508.656,508.304,507.477,501.119,507.623,538.559,517.851
"134","PFLU_0183",531.871,600.501,551.086,646.081,534.829,438.339,545.671,472.682,544.859,509.129,539.799,467.301,571.716,536.927,550.593,535.686,533.093,535.872,561.675,546.675
"135","PFLU_0184",523.783,504.21,515.158,532.508,504.227,555.322,499.496,411.485,523.204,480.597,516.579,431.287,498.814,510.911,565.323,509.727,518.372,509.876,506.146,520.15
"136","PFLU_0185",476.039,506.583,467.862,549.996,485.794,513.836,470.326,485.891,484.937,418.396,498.2,444.89,475.294,461.678,452.146,460.603,471.208,460.688,468.924,469.962
"137","PFLU_0186",5507.97,12584.7,5814.22,10741.9,5528.53,3572.13,5557.22,13307.4,5067.07,10205.4,5440.7,8112.65,5472.84,5410.87,5653.94,5192.24,5420.25,5467.75,5216.88,10470.8
"138","PFLU_0187",545.996,685.477,540.806,638.285,551.654,648.463,540.833,452.202,526.514,555.423,545.74,550.325,512.789,534.815,543.024,533.579,577.051,533.763,567.574,544.524
"139","PFLU_0188",606.91,661.565,592.752,624.94,556.548,662.983,564.618,600.873,620.744,545.167,628.793,536.27,577.163,580.307,606.597,578.971,597.434,579.227,614.063,590.915
"140","PFLU_0189",547.834,662.505,574.5,689.559,561.264,624.579,558.504,509.928,619.807,622.51,590.836,508.714,570.092,565.696,564.048,564.391,585.473,564.623,607.174,576.012
"141","PFLU_0190",579.612,630.909,537.627,664.431,548.907,648.129,534.975,575.947,576.189,578.178,506.524,487.211,559.077,540.179,534.327,538.931,566.841,539.124,545.801,549.994
"142","PFLU_0191",803.684,859.754,730.595,939.008,803.749,944.497,756.108,769.47,803.126,732.423,792.042,702.133,802.63,765.418,744.252,763.689,835.035,764.331,766.613,779.813
"143","PFLU_0192",634.492,805.6,634.876,653.237,662.888,795.182,673.766,550.506,662.091,639.368,645.103,648.628,666.444,630.656,648.242,629.213,617.089,629.564,624.992,642.281
"144","PFLU_0193",1039.82,1156.52,1028.61,1220.99,1026.79,1273.04,1085.92,899.312,1077.57,945.446,1059.51,1051.65,1013.35,1018.13,1026.4,1015.89,1042.06,1017.31,1052,1038.03
"145","PFLU_0194",868.167,940.495,859.943,1004.06,831.563,961.023,873.497,674.896,858.553,817.211,854.435,835.719,903.6,850.173,876.747,848.269,842.605,849.141,849.603,866.372
"146","PFLU_0195",1245.03,1583.29,1194.73,1416.11,1296.68,1324.72,1327.24,1261.44,1262.71,1395.51,1238.44,1254.87,1278.9,1253.15,1279.05,1250.47,1265.2,1252.86,1331.81,1278.5
"147","PFLU_0196",555.775,618.889,566.9,640.701,550.577,645.794,566.819,546.947,555.185,503.035,536.52,557.284,546.78,536.388,563.669,535.148,518.823,535.334,528.488,546.127
